,title,link,author
5,Planning for cooler cities: A framework to prioritise green infrastructure to mitigate high temperatures in urban landscapes,https://www.sciencedirect.com/science/article/pii/S0169204614002503,"BA Norton, AM Coutts, SJ Livesley, RJ Harris… - Landscape and urban …, 2015 - Elsevier"
6,Climate change and mental health: a scoping review,https://www.mdpi.com/1660-4601/18/9/4486,"F Charlson, S Ali, T Benmarhnia, M Pearl… - International journal of …, 2021 - mdpi.com"
7,Prognostic factors in heat wave–related deaths: a meta-analysis,https://jamanetwork.com/journals/jamainternalmedicine/article-abstract/413470,"A Bouchama, M Dehbi, G Mohamed… - Archives of internal …, 2007 - jamanetwork.com"
8,"Behavioral dimensions of climate change: drivers, responses, barriers, and interventions",https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/wcc.143,"R Gifford, C Kormos, A McIntyre - … Reviews: Climate Change, 2011 - Wiley Online Library"
9,Climate change: challenges and opportunities for global health,https://jamanetwork.com/journals/jama/article-abstract/1909928,"JA Patz, H Frumkin, T Holloway, DJ Vimont, A Haines - Jama, 2014 - jamanetwork.com"
0,[PDF][PDF] Heat acclimation for protection from exertional heat stress,https://researchportal.port.ac.uk/files/3398222/Heat_acclimation.pdf,"GM Minett, M Skein, F Bieuzen… - Cochrane …, 2016 - researchportal.port.ac.uk"
1,Use of pharmacologic interventions for breast cancer risk reduction: American Society of Clinical Oncology clinical practice guideline,https://ascopubs.org/doi/abs/10.1200/JCO.2013.49.3122,"K Visvanathan, P Hurley, E Bantug, P Brown… - Journal of Clinical …, 2013 - ascopubs.org"
2,Health and climate related ecosystem services provided by street trees in the urban environment,https://link.springer.com/article/10.1186/s12940-016-0103-6,"JA Salmond, M Tadaki, S Vardoulakis, K Arbuthnott… - Environmental …, 2016 - Springer"
3,[BOOK][B] Guidelines for safe recreational water environments: Coastal and fresh waters,https://books.google.com/books?hl=en&lr=&id=D9pNrH6U0oYC&oi=fnd&pg=PR7&dq=heat+stress+guidlines+interventions+mitigation+strategies&ots=UwmbaJgYLD&sig=SYwE4S9SJi8Rk7FkuH2cZxj3S7A,World Health Organization - 2003 - books.google.com
4,Dissection of the heat-shock response in Mycobacterium tuberculosis using mutants and microarrays,https://www.microbiologyresearch.org/content/journal/micro/10.1099/00221287-148-10-3129,"GR Stewart, L Wernisch, R Stabler… - …, 2002 - microbiologyresearch.org"
5,"… clinical practice guideline update on the use of pharmacologic interventions including tamoxifen, raloxifene, and aromatase inhibition for breast cancer risk reduction",https://ascopubs.org/doi/abs/10.1200/JCO.2008.20.5179,"K Visvanathan, RT Chlebowski, P Hurley… - Journal of clinical …, 2009 - ascopubs.org"
6,Scales of governance and environmental justice for adaptation and mitigation of climate change,https://onlinelibrary.wiley.com/doi/abs/10.1002/jid.833,"WN Adger - Journal of International development, 2001 - Wiley Online Library"
7,The direct impact of climate change on regional labor productivity,https://www.tandfonline.com/doi/abs/10.1080/19338240903352776,"T Kjellstrom, RS Kovats, SJ Lloyd, T Holt… - … of environmental & …, 2009 - Taylor & Francis"
8,[HTML][HTML] Doxorubicin-induced cardiomyopathy: from molecular mechanisms to therapeutic strategies,https://www.sciencedirect.com/science/article/pii/S0022282812001150,"Y Octavia, CG Tocchetti, KL Gabrielson… - Journal of molecular and …, 2012 - Elsevier"
9,Reductions in systemic and skeletal muscle blood flow and oxygen delivery limit maximal aerobic capacity in humans,https://www.ahajournals.org/doi/abs/10.1161/01.CIR.0000049746.29175.3F,"J González-Alonso, JAL Calbet - Circulation, 2003 - ahajournals.org"
0,Environmental stressors and cardio-metabolic disease: part I–epidemiologic evidence supporting a role for noise and air pollution and effects of mitigation strategies,https://academic.oup.com/eurheartj/article-abstract/38/8/550/3056923,"T Münzel, M Sørensen, T Gori, FP Schmidt… - European heart …, 2017 - academic.oup.com"
1,Adverse effects of androgen deprivation therapy and strategies to mitigate them,https://www.sciencedirect.com/science/article/pii/S0302283814006502,"PL Nguyen, SMH Alibhai, S Basaria, AV D'Amico… - European urology, 2015 - Elsevier"
2,[BOOK][B] Climate intervention: Reflecting sunlight to cool earth,https://books.google.com/books?hl=en&lr=&id=RErgCgAAQBAJ&oi=fnd&pg=PT16&dq=heat+stress+guidlines+interventions+mitigation+strategies&ots=_3kSmLx_Lb&sig=HWrWuZF_OSqHmm_xrVYs1TcPHQE,"National Research Council, Division on Earth… - 2015 - books.google.com"
3,Abiotic stress responses and microbe-mediated mitigation in plants: the omics strategies,https://www.frontiersin.org/articles/10.3389/fpls.2017.00172/full,"KK Meena, AM Sorty, UM Bitla, K Choudhary… - Frontiers in plant …, 2017 - frontiersin.org"
4,"Stress, sublethal injury, resuscitation, and virulence of bacterial foodborne pathogens",https://www.sciencedirect.com/science/article/pii/S0362028X22003738,"AM Wesche, JB Gurtler, BP Marks, ET Ryser - Journal of food protection, 2009 - Elsevier"
5,[BOOK][B] Climate intervention: Carbon dioxide removal and reliable sequestration,https://books.google.com/books?hl=en&lr=&id=_hE9CgAAQBAJ&oi=fnd&pg=PT21&dq=heat+stress+guidlines+interventions+mitigation+strategies&ots=INK3WBjEb3&sig=1elh0rOmgm5QDfb31E1EMHo2R78,"National Research Council, Division on Earth… - 2015 - books.google.com"
6,Building human resilience: the role of public health preparedness and response as an adaptation to climate change,https://www.sciencedirect.com/science/article/pii/S0749379708006879,"ME Keim - American journal of preventive medicine, 2008 - Elsevier"
7,Weathering climate change: some simple rules to guide adaptation decisions,https://www.sciencedirect.com/science/article/pii/S0921800998001177,"S Fankhauser, JB Smith, RSJ Tol - Ecological economics, 1999 - Elsevier"
8,[PDF][PDF] Strengthening the social response to the human impacts of environmental change,http://volweb.utk.edu/~envchange/wp-content/uploads/2018/03/Strengthening-the-Social-Response-to-the-Human-Impacts-of-Environmental-Change.pdf,"SP Kemp, LA Palinkas, M Wong, K Wagner… - Grand Challenges for …, 2015 - volweb.utk.edu"
9,Heat stress induces expression of HSP genes in genetically divergent chickens,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0186083,"H Cedraz, JGG Gromboni, AAP Garcia… - PLoS …, 2017 - journals.plos.org"
0,Defining and setting national goals for cardiovascular health promotion and disease reduction: the American Heart Association's strategic Impact Goal through 2020 …,https://www.ahajournals.org/doi/abs/10.1161/circulationaha.109.192703,"DM Lloyd-Jones, Y Hong, D Labarthe, D Mozaffarian… - Circulation, 2010 - ahajournals.org"
1,"… Society of nuclear Cardiology, Heart Failure Society of America, Heart Rhythm Society, Society for Cardiovascular Angiography and Interventions, and Society of …",https://www.jacc.org/doi/abs/10.1016/j.jacc.2011.06.011,"BJ Gersh, BJ Maron, RO Bonow, JA Dearani… - Journal of the American …, 2011 - jacc.org"
2,Climate change and health: a position paper of the American College of Physicians,https://www.acpjournals.org/doi/abs/10.7326/m15-2766,"RA Crowley… - Annals of internal …, 2016 - acpjournals.org"
3,The use of scenarios as the basis for combined assessment of climate change mitigation and adaptation,https://www.sciencedirect.com/science/article/pii/S0959378010001068,"DP van Vuuren, M Isaac, ZW Kundzewicz… - Global Environmental …, 2011 - Elsevier"
4,Sickle cell trait testing and athletic participation: a solution in search of a problem?,https://ashpublications.org/hematology/article-abstract/2013/1/632/20758,"AA Thompson - Hematology 2013, the American Society of …, 2013 - ashpublications.org"
5,[PDF][PDF] Workplace environment and its impact on organisational performance in public sector organisations,https://www.ijecbs.com/January2011/N4Jan2011.pdf,"K Chandrasekar - International journal of enterprise computing and …, 2011 - ijecbs.com"
6,Soluble factors from Lactobacillus GG activate MAPKs and induce cytoprotective heat shock proteins in intestinal epithelial cells,https://journals.physiology.org/doi/abs/10.1152/ajpcell.00131.2005,"Y Tao, KA Drabik, TS Waypa… - … of Physiology-Cell …, 2006 - journals.physiology.org"
7,[BOOK][B] WHO guidelines for indoor air quality: household fuel combustion,https://books.google.com/books?hl=en&lr=&id=Hlk0DgAAQBAJ&oi=fnd&pg=PP1&dq=heat+stress+guidlines+interventions+mitigation+strategies&ots=LjnzifFbHB&sig=KjiyFdUvoDyHZ25H9RqVp7QlKmc,World Health Organization - 2014 - books.google.com
8,[PDF][PDF] Urban climatic map studies: a review,http://web5.arch.cuhk.edu.hk/server1/staff1/edward/www/Jnl2010/RC2010-IJC.pdf,"R Chao, NE Yan-yung, K Lutz - International journal of …, 2010 - web5.arch.cuhk.edu.hk"
9,[BOOK][B] Compendium of WHO and other UN guidance on health and environment: version with International Classification of Health Intervention (ICHI) codes,https://books.google.com/books?hl=en&lr=&id=xaMOEQAAQBAJ&oi=fnd&pg=PP4&dq=heat+stress+guidlines+interventions+mitigation+strategies&ots=XEiP_Oxegz&sig=nmbsYNfxAp9vG5yVJLz3cw9c08I,World Health Organization - 2024 - books.google.com
0,Public health benefits of strategies to reduce greenhouse-gas emissions: household energy,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(09)61713-X/abstract,"P Wilkinson, KR Smith, M Davies, H Adair… - The lancet, 2009 - thelancet.com"
1,Physiological limits to exercise performance in the heat,https://www.sciencedirect.com/science/article/pii/S1440244007001466,"M Hargreaves - Journal of Science and Medicine in Sport, 2008 - Elsevier"
2,The validation of an active control intervention for Mindfulness Based Stress Reduction (MBSR),https://www.sciencedirect.com/science/article/pii/S0005796711002476,"DG MacCoon, ZE Imel, MA Rosenkranz… - Behaviour research and …, 2012 - Elsevier"
3,Precooling methods and their effects on athletic performance: a systematic review and practical applications,https://link.springer.com/article/10.1007/s40279-012-0014-9,"M Ross, C Abbiss, P Laursen, D Martin, L Burke - Sports Medicine, 2013 - Springer"
4,Health effects of climate change: an overview of systematic reviews,https://bmjopen.bmj.com/content/11/6/e046333.abstract,"RJ Rocque, C Beaudoin, R Ndjaboue, L Cameron… - BMJ open, 2021 - bmjopen.bmj.com"
5,Dynamic responses of cattle to thermal heat loads,https://academic.oup.com/jas/article-abstract/77/suppl_2/10/4625559,"GL Hahn - Journal of animal science, 1999 - academic.oup.com"
6,2011 ACCF/AHA/SCAI guideline for percutaneous coronary intervention: a report of the American College of Cardiology Foundation/American Heart Association Task …,https://www.jacc.org/doi/abs/10.1016/j.jacc.2011.08.007,"GN Levine, ER Bates, JC Blankenship… - Journal of the American …, 2011 - jacc.org"
7,"ACC/AHA 2005 practice guidelines for the management of patients with peripheral arterial disease (lower extremity, renal, mesenteric, and abdominal aortic) a …",https://www.ahajournals.org/doi/abs/10.1161/circulationaha.106.174526,"AT Hirsch, ZJ Haskal, NR Hertzer, CW Bakal… - circulation, 2006 - ahajournals.org"
8,Progress in urban greenery mitigation science–assessment methodologies advanced technologies and impact on cities,https://iris.unimore.it/handle/11380/1169196,"M Santamouris, G Ban-Weiss, P Osmond… - Journal of Civil …, 2018 - iris.unimore.it"
9,"Guidelines for management of hypertension: report of the fourth working party of the British Hypertension Society, 2004—BHS IV",https://www.nature.com/articles/1001683,"B Williams, NR Poulter, MJ Brown, M Davis… - Journal of human …, 2004 - nature.com"
0,"Falls in older people: epidemiology, risk factors and strategies for prevention",https://academic.oup.com/ageing/article-abstract/35/suppl_2/ii37/15775,"LZ Rubenstein - Age and ageing, 2006 - academic.oup.com"
1,"… , wait-list controlled clinical trial: the effect of a mindfulness meditation-based stress reduction program on mood and symptoms of stress in cancer outpatients","https://journals.lww.com/psychosomaticmedicine/fulltext/2000/09000/a_randomized,_wait_list_controlled_clinical_trial_.4.aspx","M Speca, LE Carlson, E Goodey… - Psychosomatic …, 2000 - journals.lww.com"
2,A values‐based approach to vulnerability and adaptation to climate change,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/wcc.30,"KL O'Brien, J Wolf - Wiley Interdisciplinary Reviews: Climate …, 2010 - Wiley Online Library"
3,Nature-based solutions for resilient landscapes and cities,https://www.sciencedirect.com/science/article/pii/S0013935117317115,"R Lafortezza, J Chen, CK Van Den Bosch… - Environmental …, 2018 - Elsevier"
4,A study on the cooling effects of greening in a high-density city: An experience from Hong Kong,https://www.sciencedirect.com/science/article/pii/S0360132311002228,"E Ng, L Chen, Y Wang, C Yuan - Building and environment, 2012 - Elsevier"
5,"[HTML][HTML] Nature-based solutions efficiency evaluation against natural hazards: Modelling methods, advantages and limitations",https://www.sciencedirect.com/science/article/pii/S0048969721021288,"P Kumar, SE Debele, J Sahani, N Rawat… - Science of the Total …, 2021 - Elsevier"
6,"Perceptions of heatwave risks to health: interview-based study of older people in London and Norwich, UK",https://academic.oup.com/jpubhealth/article-abstract/31/1/119/1588025,"V Abrahamson, J Wolf, I Lorenzoni, B Fenn… - Journal of Public …, 2009 - academic.oup.com"
7,[BOOK][B] Tourism and climate change: Risks and opportunities,https://books.google.com/books?hl=en&lr=&id=tZwUOXaMqv8C&oi=fnd&pg=PR9&dq=heat+stress+guidlines+interventions+mitigation+strategies&ots=Q2lOuzai6W&sig=q4psTPSG0UADHqG9QosHJiaGrYA,"S Becken, JE Hay - 2007 - books.google.com"
8,Consensus‐based European guidelines for treatment of atopic eczema (atopic dermatitis) in adults and children: part II,https://onlinelibrary.wiley.com/doi/abs/10.1111/JDV.14888,"A Wollenberg, S Barbarot, T Bieber… - Journal of the …, 2018 - Wiley Online Library"
9,… Council on Stroke: co-sponsored by the Council on Cardiovascular Radiology and Intervention: the American Academy of Neurology affirms the value of this guideline …,https://www.ahajournals.org/doi/abs/10.1161/01.STR.0000199147.30016.74,"RL Sacco, R Adams, G Albers, MJ Alberts… - Stroke, 2006 - ahajournals.org"
0,National Athletic Trainers' Association position statement: exertional heat illnesses,https://pmc.ncbi.nlm.nih.gov/articles/PMC164365/,"HM Binkley, J Beckett, DJ Casa… - Journal of Athletic …, 2002 - pmc.ncbi.nlm.nih.gov"
1,Job stress interventions and organization of work.,https://psycnet.apa.org/record/2002-18427-016,NK Semmer - 2003 - psycnet.apa.org
2,Multimodal approach to control postoperative pathophysiology and rehabilitation,https://www.sciencedirect.com/science/article/pii/S0007091217399890,"H Kehlet - British journal of anaesthesia, 1997 - Elsevier"
3,Myocardial ischaemia–reperfusion injury and cardioprotection in perspective,https://www.nature.com/articles/s41569-020-0403-y,"G Heusch - Nature Reviews Cardiology, 2020 - nature.com"
4,Perspectives on spatial representation of urban heat vulnerability,https://www.sciencedirect.com/science/article/pii/S0048969721007026,"J Karanja, L Kiage - Science of The Total Environment, 2021 - Elsevier"
5,Heatstroke,https://www.nejm.org/doi/abs/10.1056/NEJMra1810762,"Y Epstein, R Yanovich - New England Journal of Medicine, 2019 - Mass Medical Soc"
6,"Innovating to zero the building sector in Europe: Minimising the energy consumption, eradication of the energy poverty and mitigating the local climate change",https://www.sciencedirect.com/science/article/pii/S0038092X16000359,"M Santamouris - Solar Energy, 2016 - Elsevier"
7,Safety planning intervention: a brief intervention to mitigate suicide risk,https://www.sciencedirect.com/science/article/pii/S1077722911000630,"B Stanley, GK Brown - Cognitive and behavioral practice, 2012 - Elsevier"
8,ACCM/PALS haemodynamic support guidelines for paediatric septic shock: an outcomes comparison with and without monitoring central venous oxygen saturation,https://link.springer.com/article/10.1007/s00134-008-1085-9,"CF de Oliveira, DSF de Oliveira, AFC Gottschald… - Intensive care …, 2008 - Springer"
9,[BOOK][B] Disaster resilience: an integrated approach,https://books.google.com/books?hl=en&lr=&id=oZknDwAAQBAJ&oi=fnd&pg=PR5&dq=heat+stress+guidlines+interventions+mitigation+strategies&ots=yF2mcvW8Lz&sig=jNHfxCsCA8GBU_OXo3124uH1Q1g,"D Paton, D Johnston - 2017 - books.google.com"
0,How to reduce sitting time? A review of behaviour change strategies used in sedentary behaviour reduction interventions among adults,https://www.tandfonline.com/doi/abs/10.1080/17437199.2015.1082146,"B Gardner, L Smith, F Lorencatto, M Hamer… - Health psychology …, 2016 - Taylor & Francis"
1,British Hypertension Society guidelines for hypertension management 2004 (BHS-IV): summary,https://www.bmj.com/content/328/7440/634.short,"B Williams, NR Poulter, MJ Brown, M Davis… - Bmj, 2004 - bmj.com"
2,Clinical practice guidelines on the evidence‐based use of integrative therapies during and after breast cancer treatment,https://acsjournals.onlinelibrary.wiley.com/doi/abs/10.3322/caac.21397,"H Greenlee, MJ DuPont‐Reyes… - CA: a cancer journal …, 2017 - Wiley Online Library"
3,Individual-and household-level interventions to reduce air pollution exposures and health risks: a review of the recent literature,https://link.springer.com/article/10.1007/s40572-020-00296-z,"RW Allen, P Barn - Current environmental health reports, 2020 - Springer"
4,"[HTML][HTML] The nexus between air pollution, green infrastructure and human health",https://www.sciencedirect.com/science/article/pii/S0160412019319683,"P Kumar, A Druckman, J Gallagher… - Environment …, 2019 - Elsevier"
5,[PDF][PDF] Position statement part two: maintaining immune health.,http://www.eir-isei.de/2011/EIR_17_2011.pdf#page=62,"NP Walsh, M Gleeson, DB Pyne, DC Nieman… - Exercise immunology …, 2011 - eir-isei.de"
6,"Consequences of climate change for European agricultural productivity, land use and policy",https://www.sciencedirect.com/science/article/pii/S1161030102000047,"JE Olesen, M Bindi - European journal of agronomy, 2002 - Elsevier"
7,European Resuscitation Council Guidelines 2021: cardiac arrest in special circumstances,https://www.sciencedirect.com/science/article/pii/S0300957221000642,"C Lott, A Truhlář, A Alfonzo, A Barelli… - Resuscitation, 2021 - Elsevier"
8,"The built environment, climate change, and health: opportunities for co-benefits",https://www.sciencedirect.com/science/article/pii/S074937970800682X,"M Younger, HR Morrow-Almeida, SM Vindigni… - American journal of …, 2008 - Elsevier"
9,Primary prevention of ischemic stroke: a guideline from the American Heart Association/American Stroke Association Stroke Council: cosponsored by the …,https://www.ahajournals.org/doi/abs/10.1161/01.STR.0000223048.70103.F1,"LB Goldstein, R Adams, MJ Alberts, LJ Appel, LM Brass… - Stroke, 2006 - ahajournals.org"
