datetime,temp,humidity,wind_speed,solar_ghi,mrt,pa,utci,heat_risk_score,shift,Heat_Risk_Score,Measure 1,Measure 2,Measure 3,Measure 4
2025-05-29 09:00:00,29.23,73,3.9,540.5,45.445,2.964626266487866,42.02398025616324,4,1,4,Drink at least 2 glasses of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-29 10:00:00,28.83,74,3.11,741.25,51.0675,2.936400280317516,45.67187715727199,4,1,4,Drink at least 2 glasses of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-29 11:00:00,28.44,74,3.95,887.82,55.0746,2.870613920673785,44.8082113954707,4,1,4,Drink at least 2 glasses of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-29 12:00:00,27.75,77,4.85,966.04,56.7312,2.869157637090938,43.02880203265637,4,1,4,Drink at least 2 glasses of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-29 13:00:00,27.76,75,3.48,968.73,56.8219,2.796268739073951,45.79100966585387,4,1,4,Drink at least 2 glasses of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-29 14:00:00,28.04,73,2.13,895.63,54.9089,2.766583443900182,48.087569051909405,5,1,5,Cool your body with a shower,Drink at least 2 glasses of water during this hour,No physical activity,
2025-05-29 15:00:00,28.04,71,0.38,753.49,50.6447,2.6907866372179856,49.95227880500778,5,1,5,Cool your body with a shower,Drink at least 2 glasses of water during this hour,No physical activity,
2025-05-29 16:00:00,28.16,71,1.17,555.98,44.8394,2.709686440671084,46.02167224725285,5,1,5,Cool your body with a shower,Drink at least 2 glasses of water during this hour,No physical activity,
2025-05-29 17:00:00,28.23,71,1.63,324.41,37.9623,2.720764803652318,42.34028969776653,4,1,4,Drink at least 2 glasses of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-29 18:00:00,28.27,71,1.79,95.71,31.1413,2.727113047091365,39.31716064635156,4,0,4,Drink at least 2 glasses of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-29 19:00:00,28.41,71,1.55,0.0,28.41,2.749433925053033,38.96650456392442,4,0,4,Drink at least 2 glasses of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-29 20:00:00,28.5,71,0.97,0.0,28.5,2.763867192715232,40.43832825720881,4,0,4,Drink at least 2 glasses of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-29 21:00:00,28.57,72,1.88,0.0,28.57,2.8142252457585126,38.709789102577616,4,0,4,Drink at least 2 glasses of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-29 22:00:00,28.39,74,2.06,0.0,28.39,2.86227360841031,38.373739472402185,4,0,4,Drink at least 2 glasses of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-29 23:00:00,28.34,74,1.55,0.0,28.34,2.8539544734470086,39.434008771704846,4,0,4,Drink at least 2 glasses of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-30 00:00:00,28.29,75,1.98,0.0,28.29,2.884111287501092,38.56865980440435,4,0,4,Drink at least 2 glasses of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-30 01:00:00,28.16,77,1.89,0.0,28.16,2.9386740272066683,38.92463933969675,4,0,4,Drink at least 2 glasses of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-30 02:00:00,28.02,77,1.94,0.0,28.02,2.914773068717749,38.55236395523652,4,0,4,Drink at least 2 glasses of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-30 03:00:00,27.59,79,2.1,0.0,27.59,2.9162508420658035,37.778400942524,3,0,3,Drink at least 1 glass of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-30 04:00:00,27.32,80,1.28,0.0,27.32,2.906803501501596,39.31800559324913,4,0,4,Drink at least 2 glasses of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-30 05:00:00,27.72,79,1.99,0.0,27.72,2.938520909738158,38.26804626050046,4,0,4,Drink at least 2 glasses of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-30 06:00:00,27.93,79,2.84,0.0,27.93,2.974809655777576,36.73968154806836,3,0,3,Drink at least 1 glass of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-30 07:00:00,27.8,80,3.18,81.39,30.2417,2.9896701931710097,36.893757261445714,3,0,3,Drink at least 1 glass of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-30 08:00:00,27.65,81,2.34,306.52,36.8456,3.0005998219042147,41.39102650684948,4,1,4,Drink at least 2 glasses of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-30 09:00:00,28.71,76,2.47,539.16,44.8848,2.994830832559872,44.88420044778423,4,1,4,Drink at least 2 glasses of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-30 10:00:00,28.89,74,2.76,739.72,51.0816,2.946637247344688,46.55515059831042,5,1,5,Cool your body with a shower,Drink at least 2 glasses of water during this hour,No physical activity,
2025-05-30 11:00:00,28.96,74,2.18,886.21,55.5463,2.958619758857597,49.74571300959056,5,1,5,Cool your body with a shower,Drink at least 2 glasses of water during this hour,No physical activity,
2025-05-30 12:00:00,28.88,74,2.69,964.5,57.815,2.94492892472295,49.381278075731984,5,1,5,Cool your body with a shower,Drink at least 2 glasses of water during this hour,No physical activity,
2025-05-30 13:00:00,29.61,68,2.69,967.38,58.6314,2.822858294920556,49.50316309554616,5,1,5,Cool your body with a shower,Drink at least 2 glasses of water during this hour,No physical activity,
2025-05-30 14:00:00,29.76,66,1.61,894.6,56.598,2.763629734740687,50.91526593893592,5,1,5,Cool your body with a shower,Drink at least 2 glasses of water during this hour,No physical activity,
